concept_name,concept_namespace,dataset_name,study_name,variable_name
hhnrakt,k2id-soep,k2id_parent,k2id-soep,hhnrakt
persnr,k2id-soep,k2id_parent,k2id-soep,persnr
parnr,k2id-soep,k2id_parent,k2id-soep,parnr
welle,k2id-soep,k2id_parent,k2id-soep,welle
kwave,k2id-soep,k2id_parent,k2id-soep,kwave
delay,k2id-soep,k2id_parent,k2id-soep,delay
study,k2id-soep,k2id_parent,k2id-soep,study
kversion,k2id-soep,k2id_parent,k2id-soep,kversion
pnr,k2id-soep,k2id_parent,k2id-soep,pnr
kihbpnr,k2id-soep,k2id_parent,k2id-soep,kihbpnr
kdaty,k2id-soep,k2id_parent,k2id-soep,kdaty
kdatm,k2id-soep,k2id_parent,k2id-soep,kdatm
kdatd,k2id-soep,k2id_parent,k2id-soep,kdatd
kitaid,k2id-soep,k2id_parent,k2id-soep,kitaid
kigrid,k2id-soep,k2id_parent,k2id-soep,kigrid
kitak0101,k2id-soep,k2id_parent,k2id-soep,kitak0101
kitak0102,k2id-soep,k2id_parent,k2id-soep,kitak0102
kitak0103,k2id-soep,k2id_parent,k2id-soep,kitak0103
kitak0104,k2id-soep,k2id_parent,k2id-soep,kitak0104
kitak0105,k2id-soep,k2id_parent,k2id-soep,kitak0105
kitak0106,k2id-soep,k2id_parent,k2id-soep,kitak0106
kitak0107,k2id-soep,k2id_parent,k2id-soep,kitak0107
kitak0201,k2id-soep,k2id_parent,k2id-soep,kitak0201
kitak0202,k2id-soep,k2id_parent,k2id-soep,kitak0202
kitak0203,k2id-soep,k2id_parent,k2id-soep,kitak0203
kitak0204,k2id-soep,k2id_parent,k2id-soep,kitak0204
kitak0205,k2id-soep,k2id_parent,k2id-soep,kitak0205
kitak03,k2id-soep,k2id_parent,k2id-soep,kitak03
kitak0401,k2id-soep,k2id_parent,k2id-soep,kitak0401
kitak0402,k2id-soep,k2id_parent,k2id-soep,kitak0402
kitak0501,k2id-soep,k2id_parent,k2id-soep,kitak0501
kitak0502,k2id-soep,k2id_parent,k2id-soep,kitak0502
kitak0601,k2id-soep,k2id_parent,k2id-soep,kitak0601
kitak0602,k2id-soep,k2id_parent,k2id-soep,kitak0602
kitak0801,k2id-soep,k2id_parent,k2id-soep,kitak0801
kitak0802,k2id-soep,k2id_parent,k2id-soep,kitak0802
kitak0803,k2id-soep,k2id_parent,k2id-soep,kitak0803
kitak0804,k2id-soep,k2id_parent,k2id-soep,kitak0804
kitak0901,k2id-soep,k2id_parent,k2id-soep,kitak0901
kitak0902,k2id-soep,k2id_parent,k2id-soep,kitak0902
kitak1001,k2id-soep,k2id_parent,k2id-soep,kitak1001
kitak1002,k2id-soep,k2id_parent,k2id-soep,kitak1002
kitak1003,k2id-soep,k2id_parent,k2id-soep,kitak1003
kitak1004,k2id-soep,k2id_parent,k2id-soep,kitak1004
kitak1005,k2id-soep,k2id_parent,k2id-soep,kitak1005
kitak1006,k2id-soep,k2id_parent,k2id-soep,kitak1006
kitak1007,k2id-soep,k2id_parent,k2id-soep,kitak1007
kitak1008,k2id-soep,k2id_parent,k2id-soep,kitak1008
kitak1009,k2id-soep,k2id_parent,k2id-soep,kitak1009
kitak1010,k2id-soep,k2id_parent,k2id-soep,kitak1010
kitak1101,k2id-soep,k2id_parent,k2id-soep,kitak1101
kitak1102,k2id-soep,k2id_parent,k2id-soep,kitak1102
kitak1103,k2id-soep,k2id_parent,k2id-soep,kitak1103
kitak1104,k2id-soep,k2id_parent,k2id-soep,kitak1104
kitak1201,k2id-soep,k2id_parent,k2id-soep,kitak1201
kitak1202,k2id-soep,k2id_parent,k2id-soep,kitak1202
kitak1203,k2id-soep,k2id_parent,k2id-soep,kitak1203
kitak1204,k2id-soep,k2id_parent,k2id-soep,kitak1204
kitak1205,k2id-soep,k2id_parent,k2id-soep,kitak1205
kitak1301,k2id-soep,k2id_parent,k2id-soep,kitak1301
kitak1302,k2id-soep,k2id_parent,k2id-soep,kitak1302
kitak1303,k2id-soep,k2id_parent,k2id-soep,kitak1303
kitak1304,k2id-soep,k2id_parent,k2id-soep,kitak1304
kitak1305,k2id-soep,k2id_parent,k2id-soep,kitak1305
kitak1306,k2id-soep,k2id_parent,k2id-soep,kitak1306
kitak1307,k2id-soep,k2id_parent,k2id-soep,kitak1307
kitak1308,k2id-soep,k2id_parent,k2id-soep,kitak1308
kitak1309,k2id-soep,k2id_parent,k2id-soep,kitak1309
kitak1310,k2id-soep,k2id_parent,k2id-soep,kitak1310
kitak1311,k2id-soep,k2id_parent,k2id-soep,kitak1311
kitak1401,k2id-soep,k2id_parent,k2id-soep,kitak1401
kitak1402,k2id-soep,k2id_parent,k2id-soep,kitak1402
kitak1403,k2id-soep,k2id_parent,k2id-soep,kitak1403
kitak1404,k2id-soep,k2id_parent,k2id-soep,kitak1404
kitak1405,k2id-soep,k2id_parent,k2id-soep,kitak1405
kitak1406,k2id-soep,k2id_parent,k2id-soep,kitak1406
kitak1407,k2id-soep,k2id_parent,k2id-soep,kitak1407
kitak1408,k2id-soep,k2id_parent,k2id-soep,kitak1408
kitak1409,k2id-soep,k2id_parent,k2id-soep,kitak1409
kitak1410,k2id-soep,k2id_parent,k2id-soep,kitak1410
kitak1411,k2id-soep,k2id_parent,k2id-soep,kitak1411
kitak1412,k2id-soep,k2id_parent,k2id-soep,kitak1412
kitak1413,k2id-soep,k2id_parent,k2id-soep,kitak1413
kitak1414,k2id-soep,k2id_parent,k2id-soep,kitak1414
kitak1415,k2id-soep,k2id_parent,k2id-soep,kitak1415
kitak1416,k2id-soep,k2id_parent,k2id-soep,kitak1416
kitak1417,k2id-soep,k2id_parent,k2id-soep,kitak1417
kitak1418,k2id-soep,k2id_parent,k2id-soep,kitak1418
