concept_name,concept_namespace
hhnrakt,k2id-soep
persnr,k2id-soep
parnr,k2id-soep
welle,k2id-soep
kwave,k2id-soep
delay,k2id-soep
study,k2id-soep
kversion,k2id-soep
pnr,k2id-soep
kihbpnr,k2id-soep
kdaty,k2id-soep
kdatm,k2id-soep
kdatd,k2id-soep
kitaid,k2id-soep
kigrid,k2id-soep
kitak0101,k2id-soep
kitak0102,k2id-soep
kitak0103,k2id-soep
kitak0104,k2id-soep
kitak0105,k2id-soep
kitak0106,k2id-soep
kitak0107,k2id-soep
kitak0201,k2id-soep
kitak0202,k2id-soep
kitak0203,k2id-soep
kitak0204,k2id-soep
kitak0205,k2id-soep
kitak03,k2id-soep
kitak0401,k2id-soep
kitak0402,k2id-soep
kitak0501,k2id-soep
kitak0502,k2id-soep
kitak0601,k2id-soep
kitak0602,k2id-soep
kitak0801,k2id-soep
kitak0802,k2id-soep
kitak0803,k2id-soep
kitak0804,k2id-soep
kitak0901,k2id-soep
kitak0902,k2id-soep
kitak1001,k2id-soep
kitak1002,k2id-soep
kitak1003,k2id-soep
kitak1004,k2id-soep
kitak1005,k2id-soep
kitak1006,k2id-soep
kitak1007,k2id-soep
kitak1008,k2id-soep
kitak1009,k2id-soep
kitak1010,k2id-soep
kitak1101,k2id-soep
kitak1102,k2id-soep
kitak1103,k2id-soep
kitak1104,k2id-soep
kitak1201,k2id-soep
kitak1202,k2id-soep
kitak1203,k2id-soep
kitak1204,k2id-soep
kitak1205,k2id-soep
kitak1301,k2id-soep
kitak1302,k2id-soep
kitak1303,k2id-soep
kitak1304,k2id-soep
kitak1305,k2id-soep
kitak1306,k2id-soep
kitak1307,k2id-soep
kitak1308,k2id-soep
kitak1309,k2id-soep
kitak1310,k2id-soep
kitak1311,k2id-soep
kitak1401,k2id-soep
kitak1402,k2id-soep
kitak1403,k2id-soep
kitak1404,k2id-soep
kitak1405,k2id-soep
kitak1406,k2id-soep
kitak1407,k2id-soep
kitak1408,k2id-soep
kitak1409,k2id-soep
kitak1410,k2id-soep
kitak1411,k2id-soep
kitak1412,k2id-soep
kitak1413,k2id-soep
kitak1414,k2id-soep
kitak1415,k2id-soep
kitak1416,k2id-soep
kitak1417,k2id-soep
kitak1418,k2id-soep
kitak1419,k2id-soep
kitak1420,k2id-soep
kitak1421,k2id-soep
kitak1501a,k2id-soep
kitak1501b,k2id-soep
kitak1502a,k2id-soep
kitak1502b,k2id-soep
kitak1503a,k2id-soep
kitak1503b,k2id-soep
kitak1504a,k2id-soep
kitak1504b,k2id-soep
kitak1505a,k2id-soep
kitak1505b,k2id-soep
kitak1506a,k2id-soep
kitak1506b,k2id-soep
kitak1507a,k2id-soep
kitak1507b,k2id-soep
kitak1601,k2id-soep
kitak1701,k2id-soep
kitak1702,k2id-soep
kitak1801,k2id-soep
kitak1802,k2id-soep
kitak1901,k2id-soep
kitak1902,k2id-soep
kitak2001a,k2id-soep
kitak2001b,k2id-soep
kitak2002a,k2id-soep
kitak2002b,k2id-soep
kitak2003a,k2id-soep
kitak2003b,k2id-soep
kitak2101,k2id-soep
kitak2201,k2id-soep
kitak2202,k2id-soep
kitak2203,k2id-soep
kitak2204,k2id-soep
kitak2205,k2id-soep
kitak2206,k2id-soep
kitak2207,k2id-soep
kitak2208,k2id-soep
kitak2209,k2id-soep
kitak2210,k2id-soep
kitak23,k2id-soep
kitak24,k2id-soep
kitak25,k2id-soep
kitagnr,k2id-soep
iwave,k2id-soep
subs,k2id-soep
subsam2,k2id-soep
wpar,k2id-soep
wkita,k2id-soep
ecec,k2id-soep
kpretest,k2id-soep
kpretestp,k2id-soep
kpretesth,k2id-soep
kform,k2id-soep
kresultp,k2id-soep
kresultq,k2id-soep
kitadr,k2id-soep
khform1,k2id-soep
khresult1,k2id-soep
khform,k2id-soep
khresult,k2id-soep
khpsteps,k2id-soep
kintd,k2id-soep
kintm,k2id-soep
kinty,k2id-soep
iresult,k2id-soep
idirq,k2id-soep
igresult,k2id-soep
igrinfo,k2id-soep
ipretest,k2id-soep
ipretestr,k2id-soep
imailm,k2id-soep
itranch,k2id-soep
iform,k2id-soep
icati1,k2id-soep
icati1r,k2id-soep
icati2,k2id-soep
inonrsp,k2id-soep
inonrspr,k2id-soep
icompq,k2id-soep
icompqr,k2id-soep
icompqi,k2id-soep
icompqi2,k2id-soep
iintd,k2id-soep
iintm,k2id-soep
iinty,k2id-soep
ibula,k2id-soep
idaty,k2id-soep
idatm,k2id-soep
idatd,k2id-soep
glform,k2id-soep
ecomp,k2id-soep
kitae01,k2id-soep
kitae0201,k2id-soep
kitae0202,k2id-soep
kitae0203,k2id-soep
kitae0204,k2id-soep
kitae0205,k2id-soep
kitae0301a,k2id-soep
kitae0301b,k2id-soep
kitae0301c,k2id-soep
kitae0301d,k2id-soep
kitae0302a,k2id-soep
kitae0302b,k2id-soep
kitae0302c,k2id-soep
kitae0302d,k2id-soep
kitae0302e,k2id-soep
kitae0303a,k2id-soep
kitae0303b,k2id-soep
kitae0303c,k2id-soep
kitae0303d,k2id-soep
kitae0303e,k2id-soep
kitae0304a,k2id-soep
kitae0304b,k2id-soep
kitae0304c,k2id-soep
kitae0304d,k2id-soep
kitae0304e,k2id-soep
kitae0401a,k2id-soep
